class_id,class_name,precision,recall,f1_score,support
0,Apple___Apple_scab,1.0,1.0,1.0,63
1,Apple___Black_rot,1.0,1.0,1.0,62
2,Apple___Cedar_apple_rust,1.0,1.0,1.0,27
3,Apple___healthy,1.0,1.0,1.0,164
4,Blueberry___healthy,0.9933774834437086,1.0,0.9966777408637874,150
5,Cherry_(including_sour)___Powdery_mildew,1.0,1.0,1.0,105
6,Cherry_(including_sour)___healthy,1.0,1.0,1.0,85
7,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.96,0.9411764705882353,0.9504950495049505,51
8,Corn_(maize)___Common_rust_,1.0,0.9915966386554622,0.9957805907172996,119
9,Corn_(maize)___Northern_Leaf_Blight,0.96,0.9795918367346939,0.9696969696969697,98
10,Corn_(maize)___healthy,0.9914529914529915,1.0,0.9957081545064378,116
11,Grape___Black_rot,1.0,1.0,1.0,118
12,Grape___Esca_(Black_Measles),1.0,1.0,1.0,139
13,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),1.0,1.0,1.0,108
14,Grape___healthy,1.0,1.0,1.0,42
15,Orange___Haunglongbing_(Citrus_greening),1.0,1.0,1.0,551
16,Peach___Bacterial_spot,1.0,0.991304347826087,0.9956331877729258,230
17,Peach___healthy,0.9473684210526315,1.0,0.972972972972973,36
18,"Pepper,_bell___Bacterial_spot",0.9900990099009901,1.0,0.9950248756218906,100
19,"Pepper,_bell___healthy",1.0,0.9932432432432432,0.9966101694915255,148
20,Potato___Early_blight,1.0,1.0,1.0,100
21,Potato___Late_blight,1.0,1.0,1.0,100
22,Potato___healthy,1.0,0.9333333333333333,0.9655172413793104,15
23,Raspberry___healthy,1.0,1.0,1.0,37
24,Soybean___healthy,1.0,0.9980353634577603,0.9990167158308751,509
25,Squash___Powdery_mildew,1.0,1.0,1.0,184
26,Strawberry___Leaf_scorch,1.0,1.0,1.0,111
27,Strawberry___healthy,1.0,1.0,1.0,45
28,Tomato___Bacterial_spot,1.0,1.0,1.0,213
29,Tomato___Early_blight,0.9702970297029703,0.98,0.9751243781094527,100
30,Tomato___Late_blight,0.9947368421052631,0.9947368421052631,0.9947368421052631,190
31,Tomato___Leaf_Mold,1.0,0.9894736842105263,0.9947089947089947,95
32,Tomato___Septoria_leaf_spot,0.9943820224719101,1.0,0.9971830985915493,177
33,Tomato___Spider_mites Two-spotted_spider_mite,0.9767441860465116,1.0,0.9882352941176471,168
34,Tomato___Target_Spot,1.0,0.9645390070921985,0.9819494584837545,141
35,Tomato___Tomato_Yellow_Leaf_Curl_Virus,1.0,1.0,1.0,536
36,Tomato___Tomato_mosaic_virus,1.0,1.0,1.0,37
37,Tomato___healthy,1.0,1.0,1.0,159
