class_name,precision,recall,f1_score,support
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.8113207547169812,0.8431372549019608,0.8269230769230769,51
Tomato___Early_blight,0.8969072164948454,0.87,0.883248730964467,100
Corn_(maize)___Northern_Leaf_Blight,0.8979591836734694,0.8979591836734694,0.8979591836734694,98
Potato___healthy,0.875,0.9333333333333333,0.9032258064516129,15
Tomato___Late_blight,0.9297297297297298,0.9052631578947369,0.9173333333333333,190
Tomato___Target_Spot,0.9366197183098591,0.9432624113475178,0.9399293286219081,141
Tomato___Septoria_leaf_spot,0.9602272727272727,0.9548022598870056,0.9575070821529745,177
Tomato___Leaf_Mold,0.9680851063829787,0.9578947368421052,0.9629629629629629,95
Apple___healthy,0.9691358024691358,0.9573170731707317,0.9631901840490797,164
Apple___Apple_scab,0.9682539682539683,0.9682539682539683,0.9682539682539683,63
"Pepper,_bell___healthy",0.9602649006622517,0.9797297297297297,0.9698996655518395,148
Potato___Late_blight,0.97,0.97,0.97,100
Peach___healthy,1.0,0.9444444444444444,0.9714285714285714,36
Tomato___Tomato_mosaic_virus,0.972972972972973,0.972972972972973,0.972972972972973,37
Grape___Black_rot,0.9745762711864406,0.9745762711864406,0.9745762711864406,118
"Pepper,_bell___Bacterial_spot",0.9896907216494846,0.96,0.9746192893401016,100
Apple___Black_rot,0.9836065573770492,0.967741935483871,0.975609756097561,62
Peach___Bacterial_spot,0.9741379310344828,0.9826086956521739,0.9783549783549783,230
Tomato___Bacterial_spot,0.9766355140186916,0.9812206572769953,0.9789227166276346,213
Tomato___Spider_mites Two-spotted_spider_mite,0.9707602339181286,0.9880952380952381,0.9793510324483776,168
Apple___Cedar_apple_rust,1.0,0.9629629629629629,0.9811320754716981,27
Grape___Esca_(Black_Measles),0.9855072463768116,0.9784172661870504,0.9819494584837545,139
Cherry_(including_sour)___healthy,0.9659090909090909,1.0,0.9826589595375722,85
Potato___Early_blight,0.970873786407767,1.0,0.9852216748768473,100
Strawberry___Leaf_scorch,0.9821428571428571,0.990990990990991,0.9865470852017937,111
Tomato___healthy,0.9936305732484076,0.9811320754716981,0.9873417721518988,159
Grape___healthy,1.0,0.9761904761904762,0.9879518072289156,42
Strawberry___healthy,0.9782608695652174,1.0,0.989010989010989,45
Blueberry___healthy,0.9867549668874173,0.9933333333333333,0.9900332225913622,150
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0.9818181818181818,1.0,0.9908256880733946,108
Corn_(maize)___healthy,0.9913793103448276,0.9913793103448276,0.9913793103448276,116
Squash___Powdery_mildew,0.983957219251337,1.0,0.9919137466307277,184
Soybean___healthy,0.9960474308300395,0.9901768172888016,0.993103448275862,509
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.9944029850746269,0.9944029850746269,0.9944029850746269,536
Cherry_(including_sour)___Powdery_mildew,1.0,0.9904761904761905,0.9952153110047847,105
Corn_(maize)___Common_rust_,1.0,0.9915966386554622,0.9957805907172996,119
Orange___Haunglongbing_(Citrus_greening),0.9981884057971014,1.0,0.99909338168631,551
Raspberry___healthy,1.0,1.0,1.0,37
